area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
super built-up  area,21-dec,kanakpura road,1 bhk,prarepa,525.0,1.0,1.0,27.5,1.0,5238.0952380952385
built-up  area,ready to move,jalahalli,3 bhk,reodsnc,1395.0,3.0,3.0,82.0,3.0,5878.136200716845
super built-up  area,ready to move,devi nagar,3 bhk,krtonwe,2000.0,3.0,2.0,105.0,3.0,5250.0
super built-up  area,18-jul,hennur road,2 bhk,puachal,1232.0,2.0,1.0,66.0,2.0,5357.142857142857
super built-up  area,ready to move,virupakshapura,2 bhk,no society,1075.0,2.0,1.0,55.0,2.0,5116.279069767442
super built-up  area,ready to move,gubbalala,2 bhk,mauiltr,1205.0,2.0,2.0,70.0,2.0,5809.128630705394
plot  area,ready to move,muthyala nagar,4 bedroom,no society,1200.0,4.0,2.0,165.0,4.0,13750.0
super built-up  area,ready to move,rajiv nagar,4 bhk,puoodsk,2340.0,5.0,1.0,129.0,4.0,5512.820512820513
super built-up  area,ready to move,rayasandra,3 bhk,amlisai,1179.0,2.0,1.0,55.0,3.0,4664.970313825275
super built-up  area,ready to move,kodigehaali,2 bhk,shyas s,1013.0,2.0,1.0,51.0,2.0,5034.550839091807
super built-up  area,ready to move,uttarahalli,2 bhk,slnsspr,1160.0,2.0,2.0,40.6,2.0,3500.0
super built-up  area,ready to move,7th phase jp nagar,2 bhk,hiestre,1200.0,2.0,2.0,62.5,2.0,5208.333333333333
super built-up  area,ready to move,uttarahalli,3 bhk,no society,1255.0,2.0,3.0,50.19,3.0,3999.203187250996
built-up  area,ready to move,richmond town,3 bhk,no society,1100.0,2.0,1.0,145.0,3.0,13181.818181818182
built-up  area,ready to move,samethanahalli,2 bhk,spontna,1069.0,2.0,1.0,55.0,2.0,5144.9953227315245
plot  area,ready to move,kyalasanahalli,3 bedroom,ceonyy,1200.0,3.0,2.0,99.0,3.0,8250.0
super built-up  area,ready to move,kudlu gate,1 bhk,no society,1400.0,1.0,1.0,285.0,1.0,20357.14285714286
super built-up  area,ready to move,marathahalli,2 bhk,inden o,1065.0,2.0,2.0,55.0,2.0,5164.319248826291
built-up  area,ready to move,lakshminarayana pura,2 bhk,bvenese,1395.0,2.0,0.0,75.0,2.0,5376.344086021505
built-up  area,ready to move,hebbal kempapura,3 bhk,goateds,1725.0,2.0,1.0,165.0,3.0,9565.217391304348
built-up  area,ready to move,coconut grove layout,2 bhk,naenti,1007.0,2.0,2.0,43.0,2.0,4270.109235352532
built-up  area,ready to move,kengeri,3 bhk,no society,1436.0,2.0,2.0,55.0,3.0,3830.08356545961
super built-up  area,ready to move,amrita nagar,6 bhk,no society,4250.0,6.0,3.0,150.0,6.0,3529.4117647058824
super built-up  area,19-jun,hebbal,3 bhk,raard b,1645.0,3.0,2.0,117.0,3.0,7112.462006079028
plot  area,ready to move,kengeri,2 bedroom,no society,1200.0,2.0,0.0,58.0,2.0,4833.333333333333
super built-up  area,19-apr,mysore road,2 bhk,brama p,940.0,2.0,1.0,43.61,2.0,4639.36170212766
built-up  area,ready to move,kr puram,6 bedroom,no society,4300.0,6.0,2.0,175.0,6.0,4069.767441860465
super built-up  area,20-dec,hebbal,3 bhk,cehosy,2850.0,5.0,3.0,343.0,3.0,12035.087719298246
built-up  area,ready to move,indira nagar,3 bhk,no society,1740.0,3.0,2.0,191.0,3.0,10977.011494252874
super built-up  area,18-may,haralur road,2 bhk,no society,1194.0,2.0,2.0,47.0,2.0,3936.348408710218
super built-up  area,ready to move,sadashiva nagar,3 bhk,no society,3761.0,3.0,2.0,650.0,3.0,17282.637596383942
super built-up  area,ready to move,dodda nekkundi,3 bhk,no society,1829.0,3.0,2.0,125.0,3.0,6834.3357025697105
plot  area,ready to move,whitefield,4 bedroom,no society,1800.0,4.0,3.0,178.0,4.0,9888.888888888889
super built-up  area,ready to move,austin town,2 bhk,no society,1000.0,2.0,1.0,60.0,2.0,6000.0
built-up  area,ready to move,venkatapura,3 bedroom,no society,5720.0,3.0,0.0,350.0,3.0,6118.881118881119
super built-up  area,ready to move,kadabagere,2 bhk,jahipa,675.0,1.0,1.0,15.0,2.0,2222.222222222222
super built-up  area,ready to move,hebbal,2 bhk,chtert,1390.0,2.0,2.0,95.0,2.0,6834.53237410072
super built-up  area,ready to move,lakshminarayana pura,3 bhk,rothava,1500.0,3.0,2.0,104.0,3.0,6933.333333333333
super built-up  area,21-jun,vijayanagar,3 bhk,saityat,2047.0,3.0,2.0,136.0,3.0,6643.869076697606
super built-up  area,ready to move,jakkur,2 bhk,hraniib,1202.0,2.0,1.0,79.0,2.0,6572.379367720466
super built-up  area,ready to move,kodbisanhalli,2 bhk,seityen,1012.0,2.0,1.0,59.0,2.0,5830.0395256917
super built-up  area,ready to move,gunjur,3 bhk,paestol,2132.0,3.0,3.0,80.0,3.0,3752.34521575985
super built-up  area,ready to move,whitefield,1 bhk,no society,605.0,1.0,1.0,40.0,1.0,6611.570247933884
super built-up  area,ready to move,harlur,2 bhk,prncyrn,1331.0,2.0,1.0,88.0,2.0,6611.570247933884
plot  area,18-may,margondanahalli,2 bedroom,no society,1200.0,2.0,0.0,69.0,2.0,5750.0
built-up  area,ready to move,kumara park,2 bhk,no society,1150.0,2.0,0.0,250.0,2.0,21739.130434782608
plot  area,ready to move,sahakara nagar,2 bedroom,no society,1200.0,2.0,1.0,136.0,2.0,11333.333333333334
built-up  area,ready to move,anand nagar,2 bedroom,bebalrk,1800.0,2.0,0.0,300.0,2.0,16666.666666666668
super built-up  area,ready to move,akshaya vana,3 bhk,rainet,1280.0,2.0,2.0,49.0,3.0,3828.125
super built-up  area,ready to move,balagere,2 bhk,soresea,1007.0,2.0,1.0,62.0,2.0,6156.901688182721
super built-up  area,18-may,thanisandra,3 bhk,slityee,1370.0,2.0,1.0,61.0,3.0,4452.554744525547
super built-up  area,ready to move,kalkere,2 bhk,sothin,925.0,2.0,2.0,35.0,2.0,3783.7837837837837
super built-up  area,ready to move,tc palaya,2 bhk,no society,1500.0,2.0,0.0,75.0,2.0,5000.0
built-up  area,ready to move,attibele,1 bhk,jae 1hu,450.0,1.0,1.0,12.5,1.0,2777.777777777778
built-up  area,ready to move,peenya,4 bedroom,no society,1200.0,4.0,1.0,140.0,4.0,11666.666666666666
super built-up  area,19-mar,hennur road,2 bhk,puachal,1341.0,2.0,1.0,95.0,2.0,7084.265473527218
super built-up  area,ready to move,2nd phase judicial layout,3 bhk,no society,1350.0,2.0,2.0,47.25,3.0,3500.0
super built-up  area,ready to move,tumkur road,2 bhk,sahtsva,992.0,2.0,1.0,60.0,2.0,6048.387096774193
super built-up  area,ready to move,uttarahalli,2 bhk,raontwa,1163.0,2.0,2.0,68.0,2.0,5846.947549441101
super built-up  area,ready to move,sarjapur  road,2 bhk,ceiti i,1229.0,2.0,2.0,70.0,2.0,5695.6875508543535
plot  area,ready to move,gowdanapalya,2 bedroom,no society,600.0,2.0,2.0,39.0,2.0,6500.0
super built-up  area,ready to move,electronic city phase ii,2 bhk,coomee,1219.0,2.0,1.0,61.26,2.0,5025.430680885972
super built-up  area,ready to move,raja rajeshwari nagar,3 bhk,grvanun,1525.0,2.0,2.0,99.13,3.0,6500.327868852459
super built-up  area,20-jun,kasavanhalli,2 bhk,esareap,1147.0,2.0,1.0,60.0,2.0,5231.037489102006
super built-up  area,ready to move,akshaya nagar,3 bhk,dlhtsnd,1412.0,2.0,3.0,88.0,3.0,6232.294617563739
super built-up  area,19-jun,sarjapur  road,2 bhk,no society,1044.0,2.0,1.0,34.77,2.0,3330.459770114943
super built-up  area,ready to move,nagarbhavi,2 bhk,kohrana,1190.0,2.0,2.0,63.0,2.0,5294.117647058823
super built-up  area,ready to move,nagadevanahalli,3 bhk,no society,1240.0,2.0,2.0,65.0,3.0,5241.935483870968
super built-up  area,ready to move,jigani,3 bhk,dlhtsen,1352.0,3.0,1.0,65.0,3.0,4807.692307692308
built-up  area,ready to move,ashwathnagar,2 bhk,no society,1100.0,2.0,2.0,55.0,2.0,5000.0
super built-up  area,ready to move,uttarahalli,3 bhk,slnsspr,1330.0,2.0,2.0,39.9,3.0,3000.0
super built-up  area,20-nov,rr layout,3 bhk,no society,1700.0,3.0,2.0,111.0,3.0,6529.411764705882
super built-up  area,18-apr,electronic city,2 bhk,prarkun,1355.0,2.0,1.0,67.0,2.0,4944.649446494465
super built-up  area,18-nov,ramamurthy nagar,2 bhk,vaharvi,1200.0,2.0,1.0,46.0,2.0,3833.3333333333335
super built-up  area,ready to move,kengeri,1 bhk,no society,400.0,2.0,1.0,25.0,1.0,6250.0
built-up  area,ready to move,sarjapur  road,2 bhk,tiare s,1342.0,2.0,2.0,70.0,2.0,5216.095380029807
super built-up  area,ready to move,begur road,3 bhk,dhalsh,1615.0,3.0,2.0,50.87,3.0,3149.84520123839
super built-up  area,ready to move,vinayaka nagar,2 bhk,no society,1340.0,2.0,1.0,65.0,2.0,4850.746268656716
super built-up  area,ready to move,jakkuru layout,2 bhk,no society,1200.0,2.0,1.0,54.0,2.0,4500.0
built-up  area,ready to move,yeshwanthpur,1 bedroom,no society,400.0,1.0,0.0,55.0,1.0,13750.0
super built-up  area,ready to move,devanahalli,2 bhk,brrds o,1080.0,2.0,1.0,52.0,2.0,4814.814814814815
super built-up  area,ready to move,gollahalli,2 bhk,suanana,1600.0,2.0,1.0,31.0,2.0,1937.5
super built-up  area,ready to move,electronic city,2 bhk,prtor n,1200.0,2.0,0.0,34.0,2.0,2833.3333333333335
plot  area,17-apr,hennur road,3 bedroom,no society,2700.0,3.0,2.0,150.0,3.0,5555.555555555556
built-up  area,ready to move,billapura,3 bedroom,no society,1780.0,3.0,0.0,110.0,3.0,6179.775280898876
built-up  area,ready to move,amruthahalli,3 bhk,pranai,1605.0,3.0,2.0,65.0,3.0,4049.8442367601247
super built-up  area,17-sep,ulsoor,4 bhk,no society,7200.0,5.0,2.0,1584.0,4.0,22000.0
super built-up  area,ready to move,kammanahalli,2 bhk,bhide p,1200.0,2.0,2.0,80.0,2.0,6666.666666666667
plot  area,ready to move,margondanahalli,2 bedroom,no society,900.0,2.0,0.0,49.0,2.0,5444.444444444444
built-up  area,19-dec,sarjapur,3 bedroom,no society,1830.0,3.0,1.0,88.0,3.0,4808.743169398907
plot  area,ready to move,ms pallya,5 bedroom,no society,1800.0,4.0,1.0,68.0,5.0,3777.777777777778
super built-up  area,18-sep,chandapura,3 bhk,suncees,1230.0,2.0,2.0,31.37,3.0,2550.4065040650407
super built-up  area,ready to move,uttarahalli,2 bhk,no society,1065.0,2.0,1.0,42.59,2.0,3999.06103286385
plot  area,ready to move,srinagar,3 bedroom,no society,1080.0,3.0,2.0,149.0,3.0,13796.296296296296
built-up  area,ready to move,khb colony extension,3 bhk,no society,900.0,2.0,0.0,65.0,3.0,7222.222222222223
super built-up  area,ready to move,devasthanagalu,2 bhk,cmhidal,946.0,2.0,2.0,45.0,2.0,4756.871035940803
super built-up  area,ready to move,laggere,1 bhk,no society,1500.0,1.0,0.0,60.0,1.0,4000.0
super built-up  area,18-may,sarjapur  road,3 bhk,pualesk,1711.0,3.0,1.0,110.0,3.0,6428.988895382817
plot  area,ready to move,attur layout,4 bedroom,no society,1200.0,3.0,2.0,160.0,4.0,13333.333333333334
super built-up  area,18-aug,chandapura,2 bhk,suvue s,950.0,2.0,1.0,25.65,2.0,2700.0
super built-up  area,ready to move,kudlu gate,3 bhk,brlms p,1656.0,3.0,2.0,80.0,3.0,4830.917874396136
super built-up  area,ready to move,uttarahalli,2 bhk,ayaya a,1075.0,2.0,1.0,46.76,2.0,4349.767441860465
super built-up  area,ready to move,harlur,3 bhk,no society,1752.12,3.0,2.0,133.0,3.0,7590.80428281168
plot  area,ready to move,hebbal,8 bedroom,no society,6000.0,8.0,0.0,220.0,8.0,3666.6666666666665
super built-up  area,ready to move,kaverappa layout,3 bhk,no society,1540.0,3.0,3.0,85.0,3.0,5519.480519480519
super built-up  area,ready to move,lb shastri nagar,1 bhk,ciisera,665.0,1.0,2.0,32.0,1.0,4812.0300751879695
super built-up  area,ready to move,sector 2 hsr layout,3 bhk,no society,1665.0,3.0,2.0,110.0,3.0,6606.606606606607
super built-up  area,18-mar,electronics city phase 1,2 bhk,shitt s,1145.0,2.0,1.0,54.0,2.0,4716.157205240174
super built-up  area,18-aug,whitefield,2 bhk,ssdhimr,1185.0,2.0,2.0,41.0,2.0,3459.915611814346
plot  area,ready to move,2nd phase jp nagar,3 bedroom,no society,1200.0,3.0,1.0,190.0,3.0,15833.333333333334
built-up  area,ready to move,marathahalli,3 bhk,duals p,1693.0,3.0,2.0,125.0,3.0,7383.343177790904
super built-up  area,ready to move,dollars layout,3 bhk,toiasle,2456.0,3.0,3.0,220.0,3.0,8957.654723127036
super built-up  area,ready to move,rajaji nagar,3 bhk,pheston,2559.0,3.0,2.0,403.0,3.0,15748.339194998047
super built-up  area,ready to move,uttarahalli,2 bhk,slnsspr,1155.0,2.0,1.0,40.6,2.0,3515.151515151515
super built-up  area,17-oct,divya unnathi layout,3 bhk,no society,1610.0,2.0,2.0,64.4,3.0,4000.0000000000005
plot  area,18-nov,whitefield,3 bedroom,no society,1200.0,3.0,2.0,56.58,3.0,4715.0
plot  area,ready to move,anjana nagar,2 bedroom,no society,1530.0,2.0,1.0,185.0,2.0,12091.503267973856
built-up  area,ready to move,epip zone,3 bhk,no society,1709.0,3.0,1.0,80.0,3.0,4681.100058513751
plot  area,ready to move,brookefield,8 bedroom,no society,2700.0,8.0,2.0,290.0,8.0,10740.74074074074
plot  area,ready to move,subramanya nagar,1 bedroom,no society,840.0,1.0,1.0,150.0,1.0,17857.14285714286
super built-up  area,ready to move,gottigere,3 bhk,no society,1400.0,2.0,1.0,50.0,3.0,3571.4285714285716
super built-up  area,ready to move,kr puram,2 bhk,thisea,1200.0,2.0,1.0,42.0,2.0,3500.0
super built-up  area,ready to move,janatha colony,3 bhk,sgllaav,1439.0,3.0,1.0,57.23,3.0,3977.067407922168
super built-up  area,ready to move,kasavanhalli,2 bhk,no society,1375.0,2.0,2.0,72.0,2.0,5236.363636363636
plot  area,ready to move,btm 2nd stage,5 bedroom,no society,2990.0,5.0,3.0,416.0,5.0,13913.04347826087
super built-up  area,ready to move,vijayanagar,3 bhk,no society,1200.0,2.0,1.0,75.0,3.0,6250.0
built-up  area,ready to move,yelahanka,2 bhk,velas v,1315.0,2.0,3.0,75.0,2.0,5703.42205323194
plot  area,18-mar,dommasandra,2 bedroom,no society,1500.0,2.0,0.0,40.0,2.0,2666.6666666666665
built-up  area,ready to move,yelahanka,6 bedroom,no society,3600.0,6.0,1.0,200.0,6.0,5555.555555555556
super built-up  area,ready to move,vijayanagar,2 bhk,rancy r,1178.0,2.0,3.0,82.0,2.0,6960.950764006791
super built-up  area,ready to move,bannerghatta road,3 bhk,no society,1430.0,3.0,2.0,59.0,3.0,4125.874125874126
super built-up  area,ready to move,mahadevpura,3 bhk,neisei,1400.0,2.0,2.0,65.8,3.0,4700.0
super built-up  area,ready to move,thanisandra,2 bhk,bhmesy,1093.0,2.0,2.0,72.0,2.0,6587.374199451052
super built-up  area,ready to move,horamavu banaswadi,2 bhk,bhave e,1200.0,2.0,1.0,45.0,2.0,3750.0
plot  area,ready to move,magadi road,5 bedroom,no society,5000.0,6.0,1.0,360.0,5.0,7200.0
built-up  area,15-dec,1st block jayanagar,3 bhk,bhsic c,1200.0,2.0,0.0,130.0,3.0,10833.333333333334
built-up  area,18-apr,whitefield,3 bhk,no society,2210.0,3.0,2.0,156.0,3.0,7058.823529411765
super built-up  area,ready to move,uttarahalli,2 bhk,revane,1150.0,2.0,2.0,70.0,2.0,6086.95652173913
super built-up  area,ready to move,silk board,3 bhk,no society,1435.0,2.0,1.0,60.0,3.0,4181.184668989547
super built-up  area,20-dec,whitefield,2 bhk,oreldhi,1173.0,2.0,1.0,78.2,2.0,6666.666666666667
super built-up  area,ready to move,thanisandra,2 bhk,slaceda,1140.0,2.0,1.0,39.0,2.0,3421.0526315789475
super built-up  area,ready to move,jakkur plantation,3 bhk,reicace,1717.0,3.0,3.0,120.0,3.0,6988.934187536401
super built-up  area,ready to move,mallasandra,2 bhk,gmilse,1325.0,2.0,2.0,65.0,2.0,4905.66037735849
built-up  area,ready to move,hoodi,3 bhk,macanr,1370.0,3.0,2.0,67.0,3.0,4890.510948905109
super built-up  area,21-aug,electronics city phase 1,2 bhk,gmownte,1025.0,2.0,1.0,90.0,2.0,8780.487804878048
super built-up  area,ready to move,doddakammanahalli,3 bhk,no society,1409.0,2.0,3.0,62.0,3.0,4400.28388928318
super built-up  area,ready to move,bellandur,2 bhk,srageri,1200.0,2.0,1.0,52.0,2.0,4333.333333333333
super built-up  area,ready to move,thanisandra,2 bhk,nrtesnd,1200.0,2.0,1.0,53.5,2.0,4458.333333333333
super built-up  area,18-feb,whitefield,3 bhk,brlisco,1740.0,4.0,3.0,130.0,3.0,7471.264367816092
super built-up  area,19-mar,hennur road,2 bhk,puachal,1232.0,2.0,1.0,88.0,2.0,7142.857142857143
plot  area,18-nov,chandapura,2 bedroom,no society,1200.0,2.0,1.0,36.0,2.0,3000.0
super built-up  area,ready to move,whitefield,4 bhk,toindls,5924.0,4.0,3.0,625.0,4.0,10550.303848750844
super built-up  area,ready to move,veersandra,2 bhk,shnto f,1250.0,2.0,1.0,50.0,2.0,4000.0
built-up  area,ready to move,munivenkatppa layout,2 bhk,sniew l,1475.0,2.0,2.0,171.0,2.0,11593.22033898305
super built-up  area,ready to move,bommanahalli,4 bhk,alarke,2100.0,4.0,2.0,85.0,4.0,4047.6190476190477
super built-up  area,ready to move,5th phase jp nagar,1 bhk,no society,552.0,1.0,1.0,23.5,1.0,4257.246376811594
super built-up  area,ready to move,uttarahalli,3 bhk,no society,1065.0,2.0,2.0,42.59,3.0,3999.06103286385
plot  area,17-aug,hennur,3 bedroom,no society,1000.0,3.0,1.0,130.0,3.0,13000.0
plot  area,ready to move,lakshmipura,2 bedroom,no society,1225.0,2.0,0.0,65.0,2.0,5306.122448979592
built-up  area,ready to move,harsha layout,1 bhk,no society,650.0,1.0,0.0,16.0,1.0,2461.5384615384614
super built-up  area,ready to move,padmanabhanagar,2 bhk,gancy p,1067.0,2.0,2.0,52.0,2.0,4873.477038425492
super built-up  area,ready to move,sarjapur,3 bhk,sondaka,1364.0,2.0,2.0,56.0,3.0,4105.571847507332
super built-up  area,ready to move,tata nagar,3 bhk,no society,1750.0,3.0,3.0,75.0,3.0,4285.714285714285
super built-up  area,ready to move,bannerghatta road,2 bhk,no society,1240.0,2.0,1.0,71.0,2.0,5725.806451612903
plot  area,ready to move,hulimavu,2 bedroom,no society,1200.0,2.0,0.0,75.0,2.0,6250.0
super built-up  area,ready to move,kaggadasapura,3 bhk,no society,1540.0,3.0,2.0,75.0,3.0,4870.12987012987
super built-up  area,ready to move,sathya layout,3 bhk,nchtsun,1504.0,2.0,2.0,102.0,3.0,6781.914893617021
super built-up  area,ready to move,new thippasandra,2 bhk,no society,1116.0,2.0,1.0,49.8,2.0,4462.365591397849
super built-up  area,ready to move,hennur road,3 bhk,samittv,2365.0,4.0,2.0,175.0,3.0,7399.577167019028
built-up  area,ready to move,sarjapura - attibele road,2 bhk,no society,1308.0,2.0,2.0,37.0,2.0,2828.7461773700306
built-up  area,ready to move,vijayanagar,2 bhk,no society,864.0,2.0,0.0,45.0,2.0,5208.333333333333
super built-up  area,ready to move,hoskote,3 bhk,sohti s,1069.0,2.0,2.0,38.0,3.0,3554.724041159963
super built-up  area,ready to move,hebbal,2 bhk,prersis,1333.0,2.0,1.0,100.0,2.0,7501.875468867217
super built-up  area,ready to move,chennammana kere,4 bhk,no society,1800.0,4.0,1.0,145.0,4.0,8055.555555555556
plot  area,ready to move,devanahalli,4 bedroom,soyleif,6136.0,4.0,2.0,550.0,4.0,8963.49413298566
super built-up  area,ready to move,thanisandra,3 bhk,soitya,1698.0,3.0,2.0,107.0,3.0,6301.531213191991
super built-up  area,18-jun,jp nagar,3 bhk,no society,1275.0,2.0,2.0,43.6,3.0,3419.607843137255
super built-up  area,ready to move,raja rajeshwari nagar,2 bhk,avlls h,1060.0,2.0,1.0,48.0,2.0,4528.301886792453
super built-up  area,ready to move,hennur,2 bhk,no society,1160.0,2.0,1.0,49.0,2.0,4224.137931034483
super built-up  area,ready to move,sarjapur  road,3 bhk,arldsyo,1484.0,2.0,2.0,65.0,3.0,4380.053908355795
super built-up  area,ready to move,hennur road,2 bhk,mileeou,1310.0,2.0,1.0,66.0,2.0,5038.167938931298
plot  area,ready to move,vijayanagar,6 bedroom,no society,1806.0,6.0,1.0,370.0,6.0,20487.264673311183
super built-up  area,ready to move,shanti nagar,4 bhk,hviesar,3000.0,4.0,2.0,240.0,4.0,8000.0
super built-up  area,ready to move,varthur,3 bhk,no society,2145.0,3.0,2.0,165.0,3.0,7692.307692307692
super built-up  area,ready to move,marathahalli,3 bhk,duals p,1693.0,3.0,1.0,125.0,3.0,7383.343177790904
super built-up  area,ready to move,jigani,3 bhk,dlhtsen,1230.0,3.0,3.0,60.0,3.0,4878.048780487805
plot  area,18-jan,devanahalli,3 bedroom,ozdiaan,1200.0,3.0,1.0,145.0,3.0,12083.333333333334
built-up  area,18-aug,bommasandra industrial area,3 bhk,no society,1310.0,2.0,1.0,37.83,3.0,2887.7862595419847
super built-up  area,ready to move,tigalarpalya,2 bhk,no society,1150.0,2.0,1.0,60.0,2.0,5217.391304347826
super built-up  area,18-apr,munnekollal,3 bhk,sadhii,1385.0,2.0,2.0,66.5,3.0,4801.444043321299
super built-up  area,ready to move,tumkur road,2 bhk,redarav,1066.0,2.0,2.0,52.5,2.0,4924.953095684803
super built-up  area,19-dec,thanisandra,3 bhk,dsity s,2293.0,3.0,2.0,80.26,3.0,3500.2180549498476
carpet  area,ready to move,2nd block bel layout,3 bhk,no society,1625.0,3.0,3.0,92.0,3.0,5661.538461538462
super built-up  area,ready to move,vittasandra,2 bhk,no society,1246.0,2.0,1.0,67.4,2.0,5409.309791332264
plot  area,ready to move,vijayanagar,4 bedroom,no society,2100.0,6.0,1.0,252.0,4.0,12000.0
super built-up  area,ready to move,sarjapura main road,4 bhk,no society,2400.0,4.0,3.0,250.0,4.0,10416.666666666666
plot  area,ready to move,raja rajeshwari nagar,6 bedroom,no society,3900.0,6.0,2.0,195.0,6.0,5000.0
super built-up  area,ready to move,7th phase jp nagar,2 bhk,axdam v,1000.0,2.0,1.0,70.65,2.0,7065.000000000001
super built-up  area,ready to move,nagavarapalya,2 bhk,myncysi,907.0,2.0,2.0,38.0,2.0,4189.636163175303
plot  area,ready to move,ulsoor,4 bedroom,no society,3500.0,4.0,0.0,138.0,4.0,3942.8571428571427
super built-up  area,ready to move,varthur,3 bhk,vaensia,1395.0,2.0,3.0,79.0,3.0,5663.082437275985
super built-up  area,ready to move,kumbena agrahara,2 bhk,shont f,1180.0,2.0,2.0,50.0,2.0,4237.28813559322
plot  area,ready to move,banaswadi,5 bedroom,no society,1903.0,6.0,2.0,140.0,5.0,7356.8050446663165
super built-up  area,18-mar,electronic city,2 bhk,no society,1175.0,2.0,1.0,47.0,2.0,4000.0
super built-up  area,ready to move,coconut grove layout,2 bhk,no society,1272.0,2.0,2.0,51.5,2.0,4048.7421383647797
super built-up  area,ready to move,hiremath layout,3 bhk,madorsp,1490.0,2.0,1.0,92.0,3.0,6174.496644295302
super built-up  area,ready to move,yeshwanthpur,2 bhk,ibityin,1144.0,2.0,2.0,67.0,2.0,5856.643356643357
plot  area,17-aug,anekal - hosur road,4 bedroom,no society,2400.0,5.0,2.0,140.0,4.0,5833.333333333333
super built-up  area,ready to move,hormavu,2 bhk,sltraks,1143.0,2.0,1.0,53.0,2.0,4636.920384951881
plot  area,ready to move,karuna nagar,3 bedroom,coinocu,2500.0,3.0,2.0,190.0,3.0,7600.0
super built-up  area,18-dec,whitefield,2 bhk,prtates,1216.0,2.0,1.0,75.0,2.0,6167.763157894737
super built-up  area,17-jun,nallurhalli,2 bhk,mauil t,1044.0,2.0,1.0,60.0,2.0,5747.126436781609
super built-up  area,ready to move,prithvi layout,2 bhk,prlmsge,1352.0,3.0,1.0,93.0,2.0,6878.698224852071
super built-up  area,ready to move,hennur road,3 bhk,no society,1552.0,3.0,3.0,75.0,3.0,4832.474226804124
built-up  area,ready to move,bellandur,3 bhk,krala d,1785.0,3.0,2.0,120.0,3.0,6722.689075630252
super built-up  area,ready to move,pai layout,2 bhk,no society,810.0,2.0,2.0,34.5,2.0,4259.259259259259
super built-up  area,18-may,banashankari stage v,3 bhk,naiewre,1650.0,3.0,2.0,51.98,3.0,3150.3030303030305
super built-up  area,ready to move,akshayanagara east,3 bhk,no society,1595.0,3.0,2.0,70.39,3.0,4413.166144200627
super built-up  area,ready to move,whitefield,2 bhk,rabow r,1060.0,2.0,1.0,35.0,2.0,3301.8867924528304
super built-up  area,ready to move,babusapalaya,3 bhk,no society,1410.0,2.0,3.0,65.0,3.0,4609.929078014185
super built-up  area,ready to move,nagarbhavi,3 bhk,dsesthr,1523.0,2.0,2.0,56.0,3.0,3676.9533814839133
super built-up  area,19-jan,kanakpura road,3 bhk,prityfa,1591.0,3.0,1.0,122.0,3.0,7668.133249528599
super built-up  area,ready to move,ashwath nagar,3 bhk,sjcerpe,1640.0,3.0,3.0,84.0,3.0,5121.951219512195
built-up  area,ready to move,yelahanka new town,1 bhk,khatsfl,450.0,1.0,0.0,16.0,1.0,3555.5555555555557
super built-up  area,ready to move,bannerghatta road,3 bhk,amarere,1305.0,2.0,2.0,60.0,3.0,4597.701149425287
super built-up  area,ready to move,yelahanka,3 bhk,no society,1590.0,3.0,1.0,54.0,3.0,3396.2264150943397
built-up  area,ready to move,kaggadasapura,2 bhk,frowsru,1240.0,2.0,3.0,45.0,2.0,3629.032258064516
super built-up  area,ready to move,mcechs  layout,2 bhk,no society,1200.0,2.0,2.0,54.0,2.0,4500.0
super built-up  area,ready to move,dodda nekkundi,2 bhk,no society,1100.0,2.0,1.0,41.16,2.0,3741.8181818181815
super built-up  area,ready to move,koramangala,2 bhk,k ncy r,1180.0,2.0,1.0,128.0,2.0,10847.457627118643
super built-up  area,ready to move,sarjapur  road,2 bhk,no society,1115.0,2.0,1.0,50.0,2.0,4484.304932735426
super built-up  area,ready to move,bisuvanahalli,2 bhk,prityel,845.0,2.0,1.0,33.0,2.0,3905.3254437869823
super built-up  area,ready to move,4th block jayanagar,3 bhk,no society,1567.2,2.0,0.0,190.0,3.0,12123.532414497193
super built-up  area,ready to move,channasandra,3 bhk,unm 2el,1310.0,2.0,2.0,45.0,3.0,3435.114503816794
built-up  area,ready to move,jyothi nagar,2 bhk,no society,959.0,2.0,1.0,42.5,2.0,4431.699687174139
built-up  area,ready to move,8th phase jp nagar,4 bhk,no society,1200.0,4.0,1.0,140.0,4.0,11666.666666666666
super built-up  area,ready to move,kambipura,2 bhk,prrtht,883.0,2.0,1.0,37.0,2.0,4190.260475651189
super built-up  area,ready to move,rachenahalli,2 bhk,no society,1050.0,2.0,2.0,55.5,2.0,5285.714285714285
super built-up  area,21-mar,yelahanka,2 bhk,goues a,1390.0,2.0,2.0,70.21,2.0,5051.079136690647
super built-up  area,ready to move,kenchenahalli,3 bhk,ariospa,1280.0,2.0,2.0,69.0,3.0,5390.625
super built-up  area,ready to move,yelahanka,3 bhk,puziave,1614.0,3.0,2.0,95.0,3.0,5885.9975216852545
super built-up  area,ready to move,kasturi nagar,2 bhk,no society,1000.0,2.0,0.0,58.0,2.0,5800.0
super built-up  area,18-apr,marathahalli,2 bhk,no society,1196.0,2.0,2.0,57.9,2.0,4841.13712374582
super built-up  area,ready to move,sarjapur  road,3 bhk,no society,1220.0,3.0,2.0,57.0,3.0,4672.131147540984
